Wojewodztwo_Name,Powiat_MnpP_Name,Gmina_Name,URL_ID,Commission_Address_Raw,liczba_kart_otrzymanych,liczba_uprawnionych,liczba_kart_niewykorzystanych,liczba_kart_wydanych_lokal,liczba_pakietow_wyslanych,liczba_kart_wydanych_lacznie,liczba_glos_pelnnomocnik,liczba_glos_zaswiadczenie,liczba_kopert_zwrotnych,koperty_bez_oswiadczenia,koperty_oswiadczenie_niepodpisane,koperty_bez_koperty_na_karte,koperty_niezaklejona_koperta_na_karte,koperty_na_karte_wrzucone_do_urny,liczba_kart_wyjetych_z_urny,karty_z_kopert_korespondencyjnych,liczba_kart_niewaznych,liczba_kart_waznych,liczba_glosow_niewaznych,glosy_niewazne_przyczyna_A,glosy_niewazne_przyczyna_B,glosy_niewazne_przyczyna_C,liczba_glosow_waznych_na_kandydatow,Turnout_Percentage
Województwo lubelskie,Powiat opolski,gm. Opole Lubelskie,1472861,"Swietlica szpitalna, ul. Szpitalna 9, 24-300 Opole Lubelskie",30.0,34.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Województwo warmińsko-mazurskie,Powiat olsztynski,gm. Barczewo,1494676,"Zespo Zakadow Opieki Zdrowotnej im. Jerzego Pioro w Dobrym Miescie Centrum Swiadczen Zdrowotnych w Barczewie, ul. Niepodlegosci 9, 11-010 Barczewo",77.0,51.0,76.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.96078431372549
Województwo wielkopolskie,Miasto na prawach powiatu Kalisz,,1497780,"NZOZ SALUS Sp. z o. o. Zakad Pielegnacyjno-Opiekunczy, ul. Zagorzynek 34, 62-800 Kalisz",109.0,88.0,105.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,4.0,4.545454545454546
Województwo warmińsko-mazurskie,Miasto na prawach powiatu Elblag,,1495165,"Szpital Miejski sw. Jana Pawa II, ul. Jana Amosa Komenskiego 35, 82-300 Elblag, budynek przy ul. Zwiazku Jaszczurczego 22, ul. Zwiazku Jaszczurczego 22, 82-300 Elblag",26.0,20.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,5.0
Województwo pomorskie,Powiat kwidzynski,gm. Prabuty,1488674,"Zakad Opieki Leczniczej w Prabutach, ul. Kuracyjna 37, 82-550 Prabuty",53.0,51.0,50.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,3.0,5.88235294117647
Województwo opolskie,Powiat oleski,gm. Praszka,1484679,"Dom Opieki Desiderata, ul. Powstancow Slaskich 29, 46-320 Praszka",52.0,46.0,49.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,3.0,6.521739130434782
Województwo kujawsko-pomorskie,Miasto na prawach powiatu Bydgoszcz,,1471438,"Niepubliczny Zakad Opieki Zdrowotnej Dom Sue Ryder prowadzony przez Pallmed sp. z o. o. Hospicjum Stacjonarne, ul. Wilhelma Roentgena 3, 85-796 Bydgoszcz",38.0,29.0,36.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,6.896551724137931
Województwo śląskie,Miasto na prawach powiatu Bytom,,1491476,"Szpital Specjalistyczny Nr 1, ul. Aleja Legionow 49, 41-902 Bytom",65.0,53.0,61.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,4.0,7.547169811320755
Województwo łódzkie,Powiat zgierski,m. Gowno,1476177,"Grupa Zdrowie Sp. z o.o. Hospicjum Stacjonarne w Gownie, ul. Wojska Polskiego 32/34, 95-015 Gowno",29.0,12.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,8.333333333333332
Województwo lubelskie,Miasto na prawach powiatu Lublin,,1473840,"Uniwersytecki Szpital Kliniczny Nr 1 w Lublinie, ul. Chmielna 1, 20-079 Lublin",39.0,34.0,36.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,3.0,8.823529411764707
